GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Val Phe Ala	Val Phe Ala			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Phe Asn	Val Phe Asn			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Phe Asp	Val Phe Asp			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Phe Leu	Val Phe Leu			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
ValPheTrp	Val Phe Trp			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Phe Val	Val Phe Val			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val-Pro-Arg	Val Pro Arg			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Pro Asn	Val Pro Asn			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Pro Gln	Val Pro Gln			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Pro Ile	Val Pro Ile			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Pro Ser	Val Pro Ser			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Pro Trp	Val Pro Trp			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val-Trp	Val Trp			amino acid / peptide	dipeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val-Trp-Lys	Val Trp Lys			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val-Tyr-Arg	Val Tyr Arg			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Tyr Asp	Val Tyr Asp			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Tyr Val	Val Tyr Val			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Val Leu	Val Val Leu			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Val Met	Val Val Met			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Val Phe	Val Val Phe			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Val Val Tyr	Val Val Tyr			amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
Validamycin A	Validamycin A	InChI=1S/C20H35NO13/c22-3-6-1-8(12(26)15(29)11(6)25)21-9-2-7(4-23)19(17(31)13(9)27)34-20-18(32)16(30)14(28)10(5-24)33-20/h1,7-32H,2-5H2/t7-,8+,9+,10-,11-,12+,13+,14-,15+,16+,17-,18-,19-,20+/m1/s1	C1C(C(C(C(C1NC2C=C(C(C(C2O)O)O)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)CO	carbohydrate		sugar alcohol	antimicrobial	environmental	environmental	biocide			yes	antibacterial;fungicidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/443629
VALSARTAN	Valsartan	InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)/t22-/m0/s1	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O			tetrazole	drug	drug	drug	drug	angiotensin ii receptor blocker		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/60846#section=Top
Vancomycin	Vancomycin	InChI=1S/C66H75Cl2N9O24/c1-23(2)12-34(71-5)58(88)76-49-51(83)26-7-10-38(32(67)14-26)97-40-16-28-17-41(55(40)101-65-56(54(86)53(85)42(22-78)99-65)100-44-21-66(4,70)57(87)24(3)96-44)98-39-11-8-27(15-33(39)68)52(84)50-63(93)75-48(64(94)95)31-18-29(79)19-37(81)45(31)30-13-25(6-9-36(30)80)46(60(90)77-50)74-61(91)47(28)73-59(89)35(20-43(69)82)72-62(49)92/h6-11,13-19,23-24,34-35,42,44,46-54,56-57,65,71,78-81,83-87H,12,20-22,70H2,1-5H3,(H2,69,82)(H,72,92)(H,73,89)(H,74,91)(H,75,93)(H,76,88)(H,77,90)(H,94,95)/t24-,34+,35-,42+,44-,46+,47+,48-,49+,50-,51+,52+,53+,54-,56+,57+,65-,66-/m0/s1	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O			glycopeptide	antimicrobial	drug	drug	drug	antibiotic		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/vancomycin
Vardneafil	Vardenafil	InChI=1S/C23H32N6O4S/c1-5-8-20-24-16(4)21-23(30)25-22(26-29(20)21)18-15-17(9-10-19(18)33-7-3)34(31,32)28-13-11-27(6-2)12-14-28/h9-10,15H,5-8,11-14H2,1-4H3,(H,25,26,30)	CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C			piperazine	drug	drug	drug	drug	phosphodiesterase 5 inhibitor		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/110634#section=Top
Massbank:FIO00264 Velutin	Velutin	InChI=1S/C17H14O6/c1-21-10-6-12(19)17-13(20)8-14(23-16(17)7-10)9-3-4-11(18)15(5-9)22-2/h3-8,18-19H,1-2H3	COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)OC)O	phytochemical	flavonoid	flavone	food	food	food	plant						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/5464381
Verteporfin (Visudyne)	Verteporfin	InChI=1S/C41H42N4O8/c1-9-23-20(2)29-17-34-27-13-10-26(39(49)52-7)38(40(50)53-8)41(27,5)35(45-34)19-30-22(4)25(12-15-37(48)51-6)33(44-30)18-32-24(11-14-36(46)47)21(3)28(43-32)16-31(23)42-29/h9-10,13,16-19,38,42,44H,1,11-12,14-15H2,2-8H3,(H,46,47)/t38-,41+/m0/s1	CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C6(C(C(=CC=C6C(=N5)C=C1N2)C(=O)OC)C(=O)OC)C)C)CCC(=O)OC)C(=C3C)CCC(=O)O)C=C	other	porphyrin		drug	drug	drug	drug	photosensitizing agent	antineovascularisation agent	yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/5362420#section=Top
Peimine	Verticine	InChI=1S/C27H45NO3/c1-15-4-7-25-27(3,31)21-6-5-17-18(20(21)14-28(25)13-15)11-22-19(17)12-24(30)23-10-16(29)8-9-26(22,23)2/h15-25,29-31H,4-14H2,1-3H3/t15-,16-,17+,18+,19-,20-,21-,22-,23+,24-,25-,26+,27-/m0/s1	CC1CCC2C(C3CCC4C(C3CN2C1)CC5C4CC(C6C5(CCC(C6)O)C)O)(C)O		alkaloid		food	food	food	plant						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Peimine#section=Top
Vinblastine	Vinblastine	InChI=1S/C46H58N4O9/c1-8-42(54)23-28-24-45(40(52)57-6,36-30(15-19-49(25-28)26-42)29-13-10-11-14-33(29)47-36)32-21-31-34(22-35(32)56-5)48(4)38-44(31)17-20-50-18-12-16-43(9-2,37(44)50)39(59-27(3)51)46(38,55)41(53)58-7/h10-14,16,21-22,28,37-39,47,54-55H,8-9,15,17-20,23-26H2,1-7H3/t28-,37-,38+,39+,42-,43+,44+,45-,46-/m0/s1	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O		alkaloid	indole alkaloid	drug	drug	drug	drug	antineoplastic		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/vinblastine
Visnagin	Visnagin	InChI=1S/C13H10O4/c1-7-5-9(14)12-11(17-7)6-10-8(3-4-16-10)13(12)15-2/h3-6H,1-2H3	CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3			benzopyran	food	unknown	unknown	plant						yes		yes	no	used in traditional medicine	https://pubchem.ncbi.nlm.nih.gov/compound/Visnagin
Vitexin	Vitexin	InChI=1S/C21H20O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-6,14,17-19,21-25,27-29H,7H2/t14-,17-,18+,19-,21+/m1/s1	C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O	phytochemical	flavonoid		food	food	food	plant						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Vitexin
Vitexin-2''-O-rhamnoside	Vitexin-2''-O-rhamnoside	InChI=1S/C27H30O14/c1-9-19(33)21(35)23(37)27(38-9)41-26-22(36)20(34)16(8-28)40-25(26)18-13(31)6-12(30)17-14(32)7-15(39-24(17)18)10-2-4-11(29)5-3-10/h2-7,9,16,19-23,25-31,33-37H,8H2,1H3/t9-,16+,19-,20+,21+,22-,23+,25-,26+,27-/m0/s1	CC1C(C(C(C(O1)OC2C(C(C(OC2C3=C(C=C(C4=C3OC(=CC4=O)C5=CC=C(C=C5)O)O)O)CO)O)O)O)O)O	phytochemical	flavonoid		food	food	food	plant						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/2-O-Rhamnosylvitexin#section=ChEBI-Ontology
Withanolide A	Withanolide A	InChI=1S/C28H38O6/c1-14-13-20(33-24(30)15(14)2)27(5,31)18-9-8-16-21-17(10-12-25(16,18)3)26(4)19(29)7-6-11-28(26,32)23-22(21)34-23/h6-7,16-18,20-23,31-32H,8-13H2,1-5H3/t16-,17-,18-,20+,21-,22-,23-,25-,26-,27+,28-/m0/s1	CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)O)C	lipid	steroid		food	food	food	plant						yes		yes	no	commonly found in nightshade family	https://pubchem.ncbi.nlm.nih.gov/compound/withanolide_A
Withanolide B	Withanolide B	InChI=1S/C28H38O5/c1-14-13-20(32-25(30)15(14)2)16(3)17-8-9-18-22-19(10-12-26(17,18)4)27(5)21(29)7-6-11-28(27,31)24-23(22)33-24/h6-7,16-20,22-24,31H,8-13H2,1-5H3/t16-,17+,18-,19-,20+,22-,23-,24-,26+,27-,28-/m0/s1	CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)C	lipid	steroid		food	food	food	plant						yes		yes	no	commonly found in nightshade family	https://pubchem.ncbi.nlm.nih.gov/compound/14236711
Massbank:PB005729 Xanthohumol|(E)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one	Xanthohumol	InChI=1S/C21H22O5/c1-13(2)4-10-16-18(24)12-19(26-3)20(21(16)25)17(23)11-7-14-5-8-15(22)9-6-14/h4-9,11-12,22,24-25H,10H2,1-3H3/b11-7+	CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C	phytochemical	flavonoid	chalcone	food	food	food	plant					hops	yes		yes	no	found in hops / beer	https://en.wikipedia.org/wiki/Xanthohumol
Xanthohumol	Xanthohumol	InChI=1S/C21H22O5/c1-13(2)4-10-16-18(24)12-19(26-3)20(21(16)25)17(23)11-7-14-5-8-15(22)9-6-14/h4-9,11-12,22,24-25H,10H2,1-3H3/b11-7+	CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C	phytochemical	flavonoid	chalcone	food	food	food	plant					hops	yes		yes	no	hops;beer	https://pubchem.ncbi.nlm.nih.gov/compound/Xanthohumol#section=ChEBI-Ontology
Zaprinast	Zaprinast	InChI=1S/C13H13N5O2/c1-2-7-20-9-6-4-3-5-8(9)11-14-12-10(13(19)15-11)16-18-17-12/h3-6H,2,7H2,1H3,(H2,14,15,16,17,18,19)	CCCOC1=CC=CC=C1C2=NC(=O)C3=NNNC3=N2				drug	drug	drug	drug precursor			yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/5722
Zingerone	Zingerone	InChI=1S/C11H14O3/c1-8(12)3-4-9-5-6-10(13)11(7-9)14-2/h5-7,13H,3-4H2,1-2H3	CC(=O)CCC1=CC(=C(C=C1)O)OC	phytochemical	phenol		food	food	food	plant						yes		yes	no	also flavouring ingredient; food additive	https://pubchem.ncbi.nlm.nih.gov/compound/Vanillylacetone
Ziprasidone hydrochloride	Ziprasidone	InChI=1S/C21H21ClN4OS/c22-17-13-18-15(12-20(27)23-18)11-14(17)5-6-25-7-9-26(10-8-25)21-16-3-1-2-4-19(16)28-24-21/h1-4,11,13H,5-10,12H2,(H,23,27)	C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54			piperazine	drug	drug	drug	drug	antipsychotic		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/60854#section=Top
Zolmitriptan	Zolmitriptan	InChI=1S/C16H21N3O2/c1-19(2)6-5-12-9-17-15-4-3-11(8-14(12)15)7-13-10-21-16(20)18-13/h3-4,8-9,13,17H,5-7,10H2,1-2H3,(H,18,20)/t13-/m0/s1	CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3			benzopyrrole	drug	drug	drug	drug	selective serotonin receptor agonist		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/zolmitriptan#section=Top
(R)-(+)-Arachidonyl-1'-hydroxy-2'-propylamide	Methanandamide															yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/6438332#section=Top
(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-4,4,10,13,14-pentamethyl-7,11-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid	(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-4,4,10,13,14-pentamethyl-7,11-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid	InChI=1S/C27H42O5/c1-15(7-8-21(31)32)16-9-12-26(5)23-17(28)13-19-24(2,3)20(30)10-11-25(19,4)22(23)18(29)14-27(16,26)6/h15-16,19-20,22-23,30H,7-14H2,1-6H3,(H,31,32)/t15-,16-,19+,20+,22+,23-,25+,26+,27-/m1/s1	C[C@@H]([C@H]([C@@]1(C)C2)CC[C@@]1(C)[C@]3([H])C(C[C@@]4([H])C(C)(C)[C@@H](O)CC[C@]4(C)[C@@]3([H])C2=O)=O)CCC(O)=O	lipid	steroid		unknown									yes		yes	no		none
(Z-Ala-Ala-Ala-Ala)2Rh110	(Z-Ala-Ala-Ala-Ala)2Rh110	InChI=1S/C60H66N10O15/c1-31(61-49(71)33(3)63-53(75)37(7)67-58(80)82-29-39-17-11-9-12-18-39)51(73)65-35(5)55(77)69-41-23-25-45-47(27-41)84-48-28-42(24-26-46(48)60(45)44-22-16-15-21-43(44)57(79)85-60)70-56(78)36(6)66-52(74)32(2)62-50(72)34(4)64-54(76)38(8)68-59(81)83-30-40-19-13-10-14-20-40/h9-28,31-38H,29-30H2,1-8H3,(H,61,71)(H,62,72)(H,63,75)(H,64,76)(H,65,73)(H,66,74)(H,67,80)(H,68,81)(H,69,77)(H,70,78)/t31-,32-,33-,34-,35-,36-,37-,38-/m0/s1	O=C(NC1=CC(OC2=C3C=CC(NC([C@H](C)NC([C@H](C)NC([C@H](C)NC([C@H](C)NC(OCC4=CC=CC=C4)=O)=O)=O)=O)=O)=C2)=C(C35OC(C6=C5C=CC=C6)=O)C=C1)[C@H](C)NC([C@H](C)NC([C@H](C)NC([C@H](C)NC(OCC7=CC=CC=C7)=O)=O)=O)=O	amino acid / peptide	tripeptide		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		https://www.caymanchem.com/product/11675
(Z)-1-(2-Methylphenyl)oct-3-en-1-yne	1-(2-Methylphenyl)oct-3-en-1-yne	InChI=1S/C15H18/c1-3-4-5-6-7-8-12-15-13-10-9-11-14(15)2/h6-7,9-11,13H,3-5H2,1-2H3/b7-6-	CCCC/C=C\C#CC1=CC=CC=C1C	literature limited	literature limited											yes		yes	no		
[[4-[5R-Chloro-2Z-[3R-cyclohexyl-3S-hydroxy-1R-propenyl]-3S-hydroxycyclopentyl]-2R-butenyl]oxy]-acetic acid, isopropyl ester	v[[4-[5R-Chloro-2-[3R-cyclohexyl-3S-hydroxy-1R-propenyl]-3S-hydroxycyclopentyl]-2R-butenyl]oxy]-acetic acid, isopropyl ester	InChI=1S/C23H37ClO5/c1-17(2)29-22(27)16-28-13-7-6-11-23(15-19(25)14-21(23)24)12-10-20(26)18-8-4-3-5-9-18/h6-7,10,12,17-21,25-26H,3-5,8-9,11,13-16H2,1-2H3/b7-6-,12-10+/t19-,20-,21-,23?/m1/s1	O=C(OC(C)C)COC/C=C\CC1(/C=C/[C@H](C2CCCCC2)O)C[C@H](O)C[C@H]1Cl	literature limited	literature limited											yes		yes	no		
[1 major product ion, might result in less than ideal matching] NCGC00381274-01_C18H34O12_3-Hydroxy-3-(hydroxymethyl)-4-methylpentyl 6-O-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-beta-D-glucopyranoside	3-Hydroxy-3-(hydroxymethyl)-4-methylpentyl 6-O-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-beta-D-glucopyranoside															yes		yes	no		
[1]Benzothieno[2',3':3,4]thieno[3',2':7,8]cycloocta[1,2-b:5,6-b']diqu inoxaline	[1]Benzothieno[2',3':3,4]thieno[3',2':7,8]cycloocta[1,2-b:5,6-b']diqu inoxaline															yes		yes	no		
[2](1,4)Benzeno[2](2,5)pyridinophane N-oxide	[2](1,4)Benzeno[2](2,5)pyridinophane N-oxide															yes		yes	no		
[Lys8]-Vasopressin	[Lys8]-Vasopressin	InChI=1S/C46H65N13O12S2/c47-17-5-4-9-29(40(65)52-22-38(51)63)54-45(70)35-10-6-18-59(35)46(71)34-24-73-72-23-28(48)39(64)55-31(20-26-11-13-27(60)14-12-26)43(68)56-32(19-25-7-2-1-3-8-25)42(67)53-30(15-16-36(49)61)41(66)57-33(21-37(50)62)44(69)58-34/h1-3,7-8,11-14,28-35,60H,4-6,9-10,15-24,47-48H2,(H2,49,61)(H2,50,62)(H2,51,63)(H,52,65)(H,53,67)(H,54,70)(H,55,64)(H,56,68)(H,57,66)(H,58,69)/t28-,29-,30+,31+,32-,33+,34-,35-/m1/s1	C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCCN)C(=O)NCC(=O)N				drug	drug	drug	drug	hormone	antidiuretic hormone	yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/90488785
{(1S*,2R*,3R*)-2-(4-Methoxybenzyloxymethyl)-3-[(triisopropylsilyl)ethynyl]-cyclopropyl}methanol	{(1S,2R,3R)-2-(4-Methoxybenzyloxymethyl)-3-[(triisopropylsilyl)ethynyl]-cyclopropyl}methanol															yes		yes	no		
1_18_1_lysophosphatidylcholine	lysophosphatidylcholine															yes		yes	no		
1-(1,2-Dihexanoylphosphatidyl)inositol-4-phosphate	1-(1,2-Dihexanoylphosphatidyl)inositol-4-phosphate															yes		yes	no		
1-(1,2-Dihexanoylphosphatidyl)inositol-5-phosphate	1-(1,2-Dihexanoylphosphatidyl)inositol-5-phosphate															yes		yes	no		
1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-rac-glycerol)	1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-rac-glycerol)															yes		yes	no		
1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine	1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine															yes		yes	no		
1-(1Z-Octadecenyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine	1-(1Z-Octadecenyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine															yes		yes	no		
1-(1Z-Octadecenyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine	1-(1Z-Octadecenyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine															yes		yes	no		
1-(2-Acetyl-3-methylphenyl)-1H-pyridin-2-one	1-(2-Acetyl-3-methylphenyl)-1H-pyridin-2-one															yes		yes	no		
1-(2,4-Dihydroxyphenyl)-2-(4-methoxy-3-nitrophenyl)ethanone	1-(2,4-Dihydroxyphenyl)-2-(4-methoxy-3-nitrophenyl)ethanone															yes		yes	no		
1-(2'-Thienyl)-2-(3',4',5'-trimethoxyphenyl)ethyne	1-(2'-Thienyl)-2-(3',4',5'-trimethoxyphenyl)ethyne															yes		yes	no		
1-(2H-1,3-benzodioxol-5-ylmethyl)-4-[4-(trifluoromethyl)phenyl]-1H,4H,5H,6H,7H-pyrazolo[3,4-b]pyridin-6-one	1-(2H-1,3-benzodioxol-5-ylmethyl)-4-[4-(trifluoromethyl)phenyl]-1H,4H,5H,6H,7H-pyrazolo[3,4-b]pyridin-6-one															yes		yes	no		
1-(3-Cyclohexen-1-ylmethyl)-4-piperidinamine	1-(3-Cyclohexen-1-ylmethyl)-4-piperidinamine															yes		yes	no		
1-(4-Carboxybutyl)-1,3,5-triazine-2,4,6-trione	1-(4-Carboxybutyl)-1,3,5-triazine-2,4,6-trione															yes		yes	no		
1-(4-Fluorophenyl)-2-(isopropylamino)pentan-1-one	1-(4-Fluorophenyl)-2-(isopropylamino)pentan-1-one															yes		yes	no		
1-(4-Methoxyphenyl)piperazine	1-(4-Methoxyphenyl)piperazine															yes		yes	no		
1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine	1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid	phosphocholine	multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		
1-(Benzo[d][1,3]dioxol-4-yl)-2-(methylamino)pentan-1-one	1-(Benzo[d][1,3]dioxol-4-yl)-2-(methylamino)pentan-1-one															yes		yes	no		
1-(naphthalen-2-yl)ethanone	1-(naphthalen-2-yl)ethanone															yes		yes	no		
1-(p-Fluorophenyl)piperazine	1-(p-Fluorophenyl)piperazine															yes		yes	no		
1-[[4,5-Bis(4-methoxyphenyl)-2-thiazolyl]carbonyl]-4-methylpiperazine	1-[[4,5-Bis(4-methoxyphenyl)-2-thiazolyl]carbonyl]-4-methylpiperazine															yes		yes	no		
1-[2-[Bis(methylthio)methylene]propanoyl]-2-styrylcyclopropane	1-[2-[Bis(methylthio)methylene]propanoyl]-2-styrylcyclopropane															yes		yes	no		
1-[2-phenyl-5-(p-toluidino)pyrazolidin-1-yl]ethanone	1-[2-phenyl-5-(p-toluidino)pyrazolidin-1-yl]ethanone															yes		yes	no		
1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol	1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol															yes		yes	no		
1-[5-[(E)-2-phenylethenyl]-2-thiophenyl]ethanone	1-[5-[2-phenylethenyl]-2-thiophenyl]ethanone															yes		yes	no		
1-acetoxy-4-(2-aminopropyl)benzene	1-acetoxy-4-(2-aminopropyl)benzene															yes		yes	no		
1-Acetyl-6-methyl-5-oxo-1,2,3,5-tetrahydroimidazo[1,2-a]pyrimidine	1-Acetyl-6-methyl-5-oxo-1,2,3,5-tetrahydroimidazo[1,2-a]pyrimidine															yes		yes	no		
1-Alaninechlamydocin_130134	1-Alaninechlamydocin	InChI=1S/C27H36N4O6/c1-17-24(33)30-20(15-18-9-4-2-5-10-18)27(36)31-14-8-12-21(31)26(35)29-19(25(34)28-17)11-6-3-7-13-22(32)23-16-37-23/h2,4-5,9-10,17,19-21,23H,3,6-8,11-16H2,1H3,(H,28,34)(H,29,35)(H,30,33)	CC1C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)N1)CCCCCC(=O)C3CO3)CC4=CC=CC=C4	amino acid / peptide	peptide		fungal metabolite	fungi	fungi	fungal metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/126456087
1-Amino-2-ethoxybenzene	O-Phenetidine	InChI=1S/C8H11NO/c1-2-10-8-6-4-3-5-7(8)9/h3-6H,2,9H2,1H3	CCOC1=CC=CC=C1N				unknown	unknown	unknown	unknown						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/7203
1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine	1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine	InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1	CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/24779473#section=Top
1-Benzoxepin-5-d, 2,3,4,5-tetrahydro-5-d-	1-Benzoxepin-5-d, 2,3,4,5-tetrahydro-5-d-	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes		yes	no	literature limited	literature limited
